medicine_name,current_stock,minimum_stock
Escitalopram,1499,523
Clonazepam,2632,263
Salbutamol,2343,507
Budesonide,2761,391
Tamoxifen,4612,300
Paclitaxel,3635,560
Tiotropium,2567,599
Paracetamol,4314,581
Azithromycin,2029,285
Vitamin C,587,387
ORS,1592,213
Doxycycline,3014,388
Furosemide,3063,254
Erythropoietin,4750,201
Sertraline,3050,466
Fluoxetine,3859,558
Metformin,1036,457
Insulin,4838,314
Zinc,732,364
DEC,1821,419
Albendazole,1951,238
Metronidazole,3128,434
Tenofovir,1987,373
Lamivudine,745,568
Aspirin,4213,397
Atorvastatin,2042,504
Entecavir,848,569
Amlodipine,4854,459
Telmisartan,2763,480
Mannitol,809,580
Vitamin B Complex,3152,526
Amphotericin B,1745,290
Miltefosine,1827,340
Penicillin,2699,474
Cisplatin,2435,395
Artemether,4554,271
Chloroquine,2812,324
Fluorouracil,3355,415
Amoxicillin,4084,501
Hydroxyurea,1463,573
Folic Acid,4667,504
Clopidogrel,3681,332
Oseltamivir,3327,349
Deferasirox,2109,423
Rifampicin,1336,584
Isoniazid,1943,576
Cefixime,2350,287
