year,month,state,disease_name,total_cases
2018,1,Andhra Pradesh,Anxiety Disorder,2
2018,1,Andhra Pradesh,Asthma,1
2018,1,Andhra Pradesh,COVID-19,1
2018,1,Andhra Pradesh,Depression,1
2018,1,Andhra Pradesh,Diabetes (Type 2),1
2018,1,Andhra Pradesh,HIV/AIDS,1
2018,1,Andhra Pradesh,Hypertension,2
2018,1,Andhra Pradesh,Oral Cancer,1
2018,1,Andhra Pradesh,Stroke,1
2018,1,Arunachal Pradesh,Asthma,1
2018,1,Assam,COPD,1
2018,1,Assam,Diarrhea,1
2018,1,Assam,HIV/AIDS,1
2018,1,Assam,Pneumonia,2
2018,1,Bihar,Asthma,2
2018,1,Bihar,COPD,4
2018,1,Bihar,COVID-19,1
2018,1,Bihar,Diabetes (Type 2),1
2018,1,Bihar,Diarrhea,3
2018,1,Bihar,Filariasis,1
2018,1,Bihar,Gastroenteritis,1
2018,1,Bihar,Heart Disease,1
2018,1,Bihar,Japanese Encephalitis,1
2018,1,Bihar,Jaundice (Hepatitis A),2
2018,1,Bihar,Kala-Azar,1
2018,1,Bihar,Leptospirosis,2
2018,1,Bihar,Malaria,1
2018,1,Bihar,Sickle Cell Anemia,3
2018,1,Bihar,Swine Flu (H1N1),1
2018,1,Bihar,Typhoid,2
2018,1,Chandigarh,Japanese Encephalitis,1
2018,1,Chhattisgarh,Asthma,1
2018,1,Chhattisgarh,Chikungunya,1
2018,1,Chhattisgarh,Diabetes (Type 2),1
2018,1,Chhattisgarh,Kala-Azar,1
2018,1,Chhattisgarh,Swine Flu (H1N1),1
2018,1,Goa,Hepatitis B,1
2018,1,Goa,Malaria,1
2018,1,Gujarat,Asthma,1
2018,1,Gujarat,COPD,1
2018,1,Gujarat,Chikungunya,1
2018,1,Gujarat,Jaundice (Hepatitis A),1
2018,1,Gujarat,Lung Cancer,1
2018,1,Gujarat,Oral Cancer,1
2018,1,Gujarat,Pneumonia,2
2018,1,Gujarat,Swine Flu (H1N1),1
2018,1,Haryana,COVID-19,1
2018,1,Haryana,Hypertension,1
2018,1,Haryana,Oral Cancer,1
2018,1,Haryana,Pneumonia,1
2018,1,Haryana,Sickle Cell Anemia,1
2018,1,Haryana,Stroke,2
2018,1,Jammu and Kashmir,Lung Cancer,1
2018,1,Jharkhand,Asthma,2
2018,1,Jharkhand,COPD,1
2018,1,Jharkhand,Diabetes (Type 2),1
